tag,id,Species,Mass (kg),Clade
XP+AF8-007516594.1,94.024605,Erinaceus europaeus,0.6,Laurasiatheria
XP+AF8-011288883.1,94.815463,Felis catus,4.75,Laurasiatheria
XP+AF8-010609078.1,96.133566,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-008585991.1,95.694202,Galeopterus variegatus,1.45,Euarchontoglires
XP+AF8-004057306.1,92.231077,Gorilla gorilla gorilla,140,Euarchontoglires
NP+AF8-002465.1,95.606327,Homo sapiens,68,Euarchontoglires
XP+AF8-013213332.1,94.639719,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-004652107.1,95.430583,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-006728707.1,95.430583,Leptonychotes weddellii,500,Laurasiatheria
XP+AF8-007467002.1,94.815463,Lipotes vexillifer,104.5,Laurasiatheria
XP+AF8-003421934.1,95.254833,Loxodonta africana,4800,zAfrotheria
XP+AF8-005591382.1,95.694202,Macaca fascicularis,6.55,Euarchontoglires
XP+AF8-014981179.1,95.606327,Macaca mulatta,8,Euarchontoglires
XP+AF8-012974040.1,93.945128,Mesocricetus auratus,0.099,Euarchontoglires
XP+AF8-012645678.1,95.606327,Microcebus murinus,0.06,Euarchontoglires
XP+AF8-005350411.1,97.18805,Microtus ochrogaster,0.05,Euarchontoglires
XP+AF8-001365978.1,93.67311,Monodelphis domestica,0.048,Metatheria
NP+AF8-038635.2,100,Mus musculus,0.017,Euarchontoglires
XP+AF8-004751022.1,90.44643,Mustela putorius furo,1.5,Laurasiatheria
XP+AF8-014322535.1,95.254833,Myotis lucifugus,0.008,Laurasiatheria
XP+AF8-008828101.1,96.92443,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-012352543.1,89.279115,Nomascus leucogenys,5.7,Euarchontoglires
XP+AF8-004586849.1,95.342708,Ochotona princeps,0.1485,Euarchontoglires
XP+AF8-004644549.1,95.518452,Octodon degus,0.235,Euarchontoglires
XP+AF8-004408992.1,95.518452,Odobenus rosmarus divergens,1050,Laurasiatheria
XP+AF8-004270196.1,94.991213,Orcinus orca,7200,Laurasiatheria
XP+AF8-007954661.1,89.894551,Orycteropus afer afer,61,zAfrotheria
NP+AF8-001075777.1,94.815463,Oryctolagus cuniculus,2,Euarchontoglires
XP+AF8-012661197.1,95.606327,Otolemur garnettii,0.1025,Euarchontoglires
XP+AF8-014959580.1,90.586144,Ovis aries,110,Laurasiatheria
XP+AF8-005957867.1,93.936729,Pantholops hodgsonii,33,Laurasiatheria
XP+AF8-009194329.1,95.694202,Papio anubis,19.5,Euarchontoglires
XP+AF8-006983926.1,97.978908,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-007127156.1,95.079088,Physeter catodon,42500,Laurasiatheria
XP+AF8-006910968.1,95.254833,Pteropus alecto,0.74,Laurasiatheria
NP+AF8-001164071.1,97.275925,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-010330913.1,94.815463,Saimiri boliviensis boliviensis,0.75,Euarchontoglires
XP+AF8-003761720.1,94.11248,Sarcophilus harrisii,8,Metatheria
XP+AF8-004604378.1,85.536826,Sorex araneus,0.0095,Laurasiatheria
XP+AF8-008051201.1,95.869946,Tarsius syrichta,0.1315,Euarchontoglires
XP+AF8-004373338.1,94.551843,Trichechus manatus latirostris,480,zAfrotheria
XP+AF8-006146628.1,94.903338,Tupaia chinensis,0.16,Euarchontoglires
XP+AF8-008695363.1,92.307693,Ursus maritimus,475,Laurasiatheria
XP+AF8-006212150.1,94.376099,Vicugna pacos,60,Laurasiatheria
